categoria,item,cantidad,precio_unit_mxn,subtotal_mxn,estado_precio,proveedor,enlace,notas
automatizacion,ESP32 DevKit V1 30 pines,3,130,390,aprox,UNIT Electronics,https://uelectronics.com/producto/esp32-devkit-v1-30-pines-usb-c-microusb/,2 nodos + 1 repuesto; confirmar precio en carrito
automatizacion,SHT31 (T/HR ambiente),2,300,600,aprox,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-2050379399-modulo-de-sensor-de-humedad-sht31-temperatura-sht31-d-microc-_JM,Upgrade sobre DHT22: no deriva con HR alta sostenida del tunel
automatizacion,DS18B20 sumergible,3,35,105,aprox,UNIT Electronics,https://uelectronics.com/producto/ds18b20-sensor-de-temperatura-digital-de-acero-inoxidable-sumergible/,Comprar 3: es el sensor que mas se maltrata
automatizacion,Sensor capacitivo humedad sustrato pack x10,1,300,300,aprox,Amazon MX,https://www.amazon.com.mx/GalaxyElec-capacitivo-resistente-corrosi%C3%B3n-anal%C3%B3gico/dp/B082HV1JMG,20-30% salen malos; sellar borde de PCB con esmalte; conector hacia arriba
automatizacion,Modulo rele 4 canales optoacoplado,2,110,220,aprox,UNIT Electronics,https://uelectronics.com/producto/relevador-5v-de-1-a-8-canales/,Riego + ventilador + luces + reserva
automatizacion,Fuente 12V 5A Steren ELI-1260 (circuito critico),1,399,399,verificado,Steren,https://www.steren.com.mx/eliminador-regulado-de-12-vcc-5-a.html,Para intemperie: Mean Well IP67 XLG-75-12-A en UNIT
automatizacion,Bomba diafragma 12V con presostato,1,350,350,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/bomba-de-agua-diafragma-12v,Da presion para nebulizar
automatizacion,Kit nebulizadores/microaspersores,1,250,250,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/nebulizadores-de-riego,10-30 boquillas con manguera
automatizacion,JSN-SR04T nivel de tinaco,1,150,150,aprox,UNIT Electronics,https://uelectronics.com/producto/sensor-ultrasonico-jns-sr04t/,Zona muerta ~20 cm sobre nivel maximo
automatizacion,Cerebro: mini PC ThinkCentre usado i5/8GB/SSD,1,3000,3000,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/mini-pc-lenovo-thinkcentre,Alternativa: Pi 5 4GB $3069 verificado Cyberpuerta; mini PC rinde mas para HA+Grafana+Frigate
automatizacion,UPS chico para el cerebro,1,900,900,aprox,ML / Cyberpuerta,https://listado.mercadolibre.com.mx/no-break-500va,Notificacion de corte de luz + HA sigue alarmando
automatizacion,Gabinete IP65 ~300x300x90 + prensaestopas,2,350,700,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/gabinete-plastico-exterior-ip65,Nodo del tunel y nodo de bomba
automatizacion,Material de soporte (cable/borneras/fusibles/termofit/cinchos),1,1000,1000,aprox,AG Electronica (Rep. de El Salvador 20-F Centro),https://agelectronica.com,Comprar en persona; de paso conocer el proveedor de emergencia mismo-dia
iluminacion,Tubo LED T8 18W 120cm 6500K,8,121,968,verificado,JWJ Light,https://jwjlight.mx/producto/tubo-led-t8-18w-120-cm/,2 por nivel; NO pagar grow lights para ciclo de 10 dias; +canaletas y cable ~$400
clima,Tapete termico de germinacion,1,380,380,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/tapete-termico-germinacion,Para dic-feb (germinacion a 22 C); automatizable con rele
clima,Malla sombra 35% 3.7 m ancho,6 m,129,774,verificado,Hydro Environment,https://hydroenv.com.mx/producto/malla-sombra-por-metro-al-35-de-3-7-m-de-ancho/,SOLO marzo-mayo (UV extremo); quitar el resto del ano
fitosanitario,Jabon potasico 1 kg,1,250,250,verificado,Soluciones Naturales Pro,https://solucionesnaturalespro.com.mx/product/jabon-potasico/,Pulgon/mosca blanca/trips: 10-15 ml/L al enves
fitosanitario,Trampas amarillas pegajosas,1 paquete,150,150,aprox,Mercado Libre,https://listado.mercadolibre.com.mx/trampas-amarillas-pegajosas,1 por rack; el indicador temprano mas barato
fitosanitario,Gnatrol DG (Bti) 500 g,1,800,800,aprox,Valent / ML,http://www.valent.mx/productos/insecticidas/gnatrol,Comprar ANTES de la primera temporada de lluvias (mosca fungosa)
herramientas,Fase 1 (rotomartillo + brocas + taquetes + niveles + IP65 ya arriba),1,1600,1600,aprox,ver docs/04-herramientas.md,,Si suelda herrero: sin esmeriladora ni careta
TOTAL,,,,~38000,,,,Rango realista $34000-42000; el plan decia $18-28k pero subestimaba racks ($2k c/u reales) e iluminacion; recortable: 2 racks en vez de 3 y DHT22 en vez de SHT31 => ~$31000
