partida_id,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,proveedor_default,tienda_fisica,sucursal_o_zona,enlace,opciones_de_proveedor,temporada,notas
F2-025,sem3,semilla,Semilla de albahaca para el NFT,1,oz,549,549,si,,Hydrocultura,no,"Bodega Av. Toluca 1075, Alvaro Obregon (recoleccion concertada)",https://hydrocultura.com/products/nufar-semillas-organicas-de-albahaca,2,,"Nufar es resistente a fusarium, que es el riesgo tecnico #3 del plan. Estaba AGOTADA al 12-sep-2026: si no hay reabasto, cambia a la opcion Genovese y el total baja"
F2-026,sem4-6,libros,"Cultivos hidroponicos (Resh, 5a ed. en espanol)",1,pza,899,899,si,,Casa del Libro / El Pendulo,si,El Pendulo Coyoacan (pedido),https://latam.casadellibro.com/libro-cultivos-hidroponicos-5-ed-suelo-para-tecnicos-y-agricultores-profesionales-asi-como-para-los/9788484760054/796153,2,,Comprar con los ingresos de Fase 1. Es el porque de las bandas de pH y EC
F2-027,sem1-2,respaldo,Bateria LiFePO4 12.8 V 100 Ah,1,pza,4459,4459,si,,Cyberpuerta,no,solo en linea,https://www.cyberpuerta.mx,4,,28-30 h de recirculacion continua. Es el corazon de la arquitectura DC-first: un apagon no mata el NFT
F2-028,sem1-2,respaldo,Bombas de recirculacion NFT 24/7 DC (principal + respaldo),2,pza,650,1300,si,,Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/bomba-diafragma-12v,3,,"ARQUITECTURA DC-FIRST: la bomba del NFT que corre 24/7 es de 12 V y cuelga del bus de bateria. La de 127 V solo hace llenado y purga. POR VERIFICAR: si la bomba de nebulizacion de Fase 1 (F1-017) califica como segunda unidad, te ahorras $650"
F2-029,sem1-2,respaldo,Controlador de carga solar (cargador de la LiFePO4),1,pza,599,599,si,,Cyberpuerta,no,solo en linea,https://www.cyberpuerta.mx,2,,Requisito duro: que tenga perfil LiFePO4 configurable
F2-030,sem1-2,respaldo,Panel solar 100 W,1,pza,1049,1049,si,,Cyberpuerta,no,solo en linea,https://www.cyberpuerta.mx,2,,Opcional pero recomendado: flota la bateria sin CFE. Un corte diurno se vuelve sostenible indefinidamente
F2-031,sem1-2,respaldo,"Fusiblera 12 V, seccionador DC y gabinete del bus",1,lote,700,700,si,,AutoZone / Steren + Solar Center,si,AutoZone y Steren en Coyoacan; el seccionador DC en Vallejo,,2,,PARTIDA NUEVA: las notas del BOM viejo la estimaban en $500-900 y ningun renglon la sumaba
F2-032,sem1-2,respaldo,"Envio de las partidas que no tienen mostrador (panel, bateria)",1,lote,158,158,si,,Cyberpuerta,no,solo en linea,,1,,"PARTIDA NUEVA: el envio del panel aparecia en las notas y nunca se sumaba. Si compras presencial en Vallejo o Coyoacan, esta partida se va a cero"
F2-033,sem1-2,respaldo,No-break del cerebro y el router,1,pza,1189,0,no,ya_comprado_en_fase_anterior,,,,,0,,"NO SUMA: es la misma funcion que F1-021, ya comprada. Solo se recompra si el de Fase 1 no sostiene 45 min con el cerebro y el modem. Comprobalo con el simulacro de apagon antes de gastar"
F2-034,S13 de Fase 1,seguridad,Breaker GFCI del circuito del patio,1,pza,1159,0,no,ya_comprado_en_fase_anterior,,,,,0,,"NO SUMA: movida a F1-032. El proyecto la exige en la S13 de Fase 1, antes de energizar el primer rele del patio. Estaba presupuestada en las dos fases"
F2-035,S13 de Fase 1,seguridad,Tapa intemperie + varilla copperweld + cable cal. 8,1,lote,900,0,no,ya_comprado_en_fase_anterior,,,,,0,,NO SUMA: movida a F1-033
F2-036,S13 de Fase 1,seguridad,Electricista certificado,1,servicio,2500,0,no,ya_comprado_en_fase_anterior,,,,,0,,NO SUMA: movida a F1-034
F2-037,al vender cortado,frio,Refrigerador 9-11 pies (producto cortado a 4-5 C),1,pza,4000,4000,si,,Home Depot / Costco Coapa,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Costco Coapa, Tlalpan",,3,,Cortado a 20-25 C dura menos de un dia; a 5 C dura 14. Suma 25-40 kWh/mes al calculo de la tarifa DAC: metelo en la cuenta antes de comprarlo
F2-038,al vender cortado,frio,Hielera rigida 45-50 L + 6 gel packs (reparto),1,juego,1300,1300,si,,Home Depot / Costco Coapa,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Costco Coapa",https://listado.mercadolibre.com.mx/hielera-45-litros,2,,Pre-enfriar el producto la noche anterior. Objetivo: menos de 10 C durante 4-6 h de ruta
F2-039,al vender cortado,seguro,Responsabilidad civil PyMEs con RC de productos,1,poliza,500,0,no,recurrente,GNP / GMX,si,Agentes en CDMX,https://www.gnp.com.mx/seguro-de-danos-empresarial-de-responsabilidad-civil-pymes,1,,"NO SUMA AL TOTAL DE INVERSION porque es un gasto RECURRENTE (~$500/mes, $3,000-8,000/ano), no capital. Solo cuando entre un cliente corporativo u hotelero"
