partida_id,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,proveedor_default,tienda_fisica,sucursal_o_zona,enlace,opciones_de_proveedor,temporada,notas
F0-011,hoy,operacion,Bascula de cosecha 1 g (hasta 5-10 kg),1,pza,120,120,si,,Steren / super,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",,1,,Pesa la cosecha y arma pedidos. NO puede hacer el trabajo de la de dosificacion
F0-012,hoy,operacion,Bascula de dosificacion 0.1 g (hasta 500 g),1,pza,180,180,si,,Steren,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",,1,,Dosifica semilla por charola y despues sales A/B. NO puede hacer el trabajo de la de cosecha
F0-013,hoy,operacion,Tijera recta de acero inoxidable,1,pza,90,90,si,,Supermercado / Costco Coapa,si,"Costco Coapa, Tlalpan",,1,,Mejor que tijera de jardin para microgreens
F0-014,hoy,operacion,Atomizador 1 L,2,pza,80,160,si,,Home Depot,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",https://www.homedepot.com.mx/s/atomizador,1,,Son 2 a proposito: uno queda EXCLUSIVO para H2O2 y etiquetado. Mezclarlos contamina el agua de riego
F0-015,hoy,sanidad,Guantes de nitrilo (caja 100),1,caja,250,250,si,,Farmacia / Mercado Libre,si,Farmacias de Coyoacan,,2,,
F0-016,esta semana,sanidad,Sanitizante de semilla y charolas (H2O2 35% grado alimenticio),1,L,200,200,si,,Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/peroxido-de-hidrogeno-35%25-grado-alimenticio-oxigeno-liquido,2,,Se diluye 1:11 para llegar a 3%: 1 L rinde ~11 L de solucion de trabajo. DILUIR SIEMPRE
F0-017,hoy,sanidad,Agua oxigenada 3% de farmacia (puente del dia 1),2,pza,30,60,si,,Farmacia,si,"Farmacias del Ahorro/Guadalajara, Coyoacan",,1,,Es el puente mientras llega el H2O2 al 35%. No es duplicado: es la presentacion lista para usar del dia 1
F0-018,post-gate,sanidad,"Hipoclorito de calcio 65% (estandar duro 20,000 ppm)",1,kg,250,0,no,condicional,Tienda de albercas / Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/hipoclorito-de-calcio,2,,Solo si un cliente hotelero o corporativo exige el estandar duro. 31 g/L 15 min + triple enjuague
F0-019,esta semana,empaque,Clamshell PET 8 oz,100,pza,3.5,350,si,,Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/clamshell,2,,"Al escalar, cotizar fabricante"
F0-020,esta semana,empaque,Etiquetas adhesivas (tiraje chico),300,pza,2.0,600,si,,Dushi Imprenta,si,"Jose Maria Bustillos 19-A, Algarin, Cuauhtemoc",https://www.imprentacdmx.com/servicios-de-impresion/impresion-de-etiquetas-adhesivas/,1,,Marca + variedad + fecha de cosecha + lote + contacto. El lote es lo que hace posible un recall
F0-021,hoy,operacion,Termometro de cocina,1,pza,150,150,si,,Steren / super,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",,1,,Doble uso: precalentado a 60 C para sanitizar semilla y registro de cadena de frio en entregas
F0-022,esta semana,libros,Microgreens: The Insiders Secrets (Donny Greens),1,pza,396.6,396.6,si,,Amazon MX,no,solo en linea,https://www.amazon.com.mx/Microgreens-Insiders-Building-Successful-Microgreen/dp/191366600X,1,,El libro de VENDER a chefs. Leer antes de las visitas
F0-023,esta semana,libros,El jardinero horticultor (Fortier),1,pza,488,488,si,,El Pendulo,si,"El Pendulo, 8 sucursales CDMX (una en Coyoacan)",https://pendulo.com/libro/jardinero-horticultor-el_393665,1,,Siembras escalonadas y canal directo
