partida_id,fase,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,opcion_default,ya_comprado_en,temporada,notas
F1-001,1,S7-dia1,estructura,PTR 1.5x1.5 pulg cal. 14 x 6 m (porticos del tunel),15,tramo,382.85,5742.75,si,,OPC-101,,,Tunel 3x6 m a dos aguas. Disenar empalmes desde ahora para poder ampliar a 5x6 en Fase 2
F1-002,1,S7-dia1,estructura,PTR 1 pulg (largueros y contravientos),4,tramo,275,1100,si,,OPC-104,,,"POR VERIFICAR ANTES DE LA S7: docs/diseno/estructura-tunel.md calcula 7 tramos con kerf, no 4. Si son 7, esta partida sube a $1,925 (+$825)"
F1-003,1,S7,estructura,"Herreria: soldadura, primario y tornilleria",1,servicio,2000,2000,si,,OPC-105,,,"Pedir 3 cotizaciones POR ESCRITO. El herrero trae su equipo, asi evitas comprar esmeriladora y careta"
F1-004,1,S7,estructura,Anclaje: placas base 10x10 + anclas de cuna 3/8 x 3,6,juego,180,1080,si,,OPC-106,,,"2-4 anclas por placa sobre firme de concreto. NUNCA sin anclar: hay rachas de 50-80 km/h. El subtotal viejo decia $1,100 y la multiplicacion da $1,080"
F1-005,1,S8,cubierta,"Plastico UV cal. 720 blanco lechoso 25% sombra, 6.2 m de ancho",8,m,215,1720,si,,OPC-107,,,"Blanco lechoso, no transparente: difunde la luz y baja el golpe de calor"
F1-006,1,S8,cubierta,Malla antigranizo 3.7 m de ancho,40,m,40,1600,si,,OPC-109,,antes de mayo,"Va montada 10-20 cm SOBRE el plastico, no pegada. Instalar antes de mayo: el pico estadistico de granizo es agosto"
F1-007,1,S8,cubierta,Perfil zigzag + resorte + cinta reparadora + canaleta PVC,1,lote,1100,1100,si,,OPC-111,,,La canaleta nace con la estructura: es la que alimenta la captacion pluvial
F1-008,1,S9,racks,Racks de produccion ADICIONALES (3 mas: total 4 con el de Fase 0),3,pza,2019,6057,si,,OPC-113,,,NO es recompra: el rack de Fase 0 se muda al tunel y estos 3 amplian capacidad. El recorte austero compra 2 y deja 3 en total
F1-009,1,S10,agua,Tinaco de almacenamiento 750 L,1,pza,2051,2051,si,,OPC-114,,,"Sombreado u opaco. Si tu alcaldia tiene tandeo duro, subir a 1,100 L"
F1-010,1,S10,agua,Separador de primeras lluvias + filtro de hojas,1,sistema,1500,1500,si,,OPC-116,,,"DECIDIR UNA SOLA VEZ, antes de gastar: si aplicas a Cosecha de Lluvia de SEDEMA en enero-febrero y calificas, NO compres ninguna de las dos. El DIY de Fase 1 se tira a la basura cuando llega el kit de Fase 2. El precio del kit de Isla Urbana esta POR CONFIRMAR en tienda"
F1-011,1,S11,automatizacion,ESP32 DevKit V1 30 pines,3,pza,130,390,si,,OPC-119,,,2 nodos + 1 de repuesto. El repuesto no es lujo: es lo que evita parar una semana
F1-012,1,S11,automatizacion,Sensor de temperatura y humedad ambiente,2,pza,91,182,si,,OPC-121,,,Upgrade sobre el DHT22: no deriva con la humedad alta sostenida del tunel
F1-013,1,S11,automatizacion,DS18B20 sumergible,3,pza,35,105,si,,OPC-122,,,Comprar 3: es el sensor que mas se maltrata
F1-014,1,S11,automatizacion,Sensor capacitivo de humedad de sustrato,6,pza,26,156,si,,OPC-124,,,"20-30% salen malos de fabrica. Comprando en mostrador puedes revisarlos antes de pagar, por eso 6 y no 10. Sellar el borde del PCB con esmalte y montar el conector hacia arriba"
F1-015,1,S11,automatizacion,Modulo rele 4 canales optoacoplado,2,pza,110,220,si,,OPC-125,,,Riego + ventilador + luces + reserva
F1-016,1,S11,automatizacion,Fuente 12 V 5 A del circuito critico,1,pza,399,399,si,,OPC-126,,,
F1-017,1,S11,automatizacion,Bomba de nebulizacion del rack (diafragma 12 V con presostato),1,pza,350,350,si,,OPC-128,,,"Da presion para nebulizar, 4-6 L/min. NO es la misma bomba que la de recirculacion NFT de Fase 2"
F1-018,1,S11,automatizacion,Kit de nebulizadores / microaspersores,1,kit,250,250,si,,OPC-130,,,10-30 boquillas con manguera
F1-019,1,S11,automatizacion,Sensor de nivel del tinaco (JSN-SR04T),1,pza,150,150,si,,OPC-131,,,Zona muerta de ~20 cm por encima del nivel maximo: montarlo con esa holgura
F1-020,1,S11,automatizacion,Cerebro (servidor de Home Assistant),1,pza,3000,3000,si,,OPC-132,,,"Corre Home Assistant + Grafana. Si ademas quieres Frigate para vision, el mini PC rinde mas que la Pi"
F1-021,1,S11,respaldo,No-break del cerebro y el router,1,pza,900,900,si,,OPC-134,,,Sin internet no hay alarmas. Esta partida NO se vuelve a comprar en Fase 2: es la misma
F1-022,1,S11,automatizacion,Gabinete IP65 ~300x300x90 + prensaestopas,2,pza,350,700,si,,OPC-136,,,Uno para el nodo del tunel y otro para el nodo de bomba
F1-023,1,S11,automatizacion,"Material de soporte: cable, borneras, fusibles, termofit, cinchos",1,lote,1000,1000,si,,OPC-137,,,Comprar en persona y de paso conocer al proveedor de emergencia del mismo dia
F1-024,1,S9,iluminacion,Tubo LED T8 18 W 120 cm 6500 K,8,pza,121,968,si,,OPC-139,,,2 por nivel. NO pagar grow lights para un ciclo de 10 dias: no se amortizan
F1-025,1,S9,iluminacion,Canaletas y cable para los tubos T8,1,lote,400,400,si,,OPC-141,,,PARTIDA NUEVA: las notas del BOM viejo la mencionaban y ningun renglon la sumaba
F1-026,1,S12,clima,Tapete termico de germinacion,1,pza,380,380,si,,OPC-142,,dic-feb,"CUESTIONA ESTA PARTIDA ANTES DE COMPRARLA: en CDMX, para girasol, chicharo y rabano, la germinacion bajo blackout con charolas apiladas suele bastar. Automatizable con rele si la compras"
F1-027,1,S12,clima,Malla sombra 35% 3.7 m de ancho,6,m,129,774,si,,OPC-143,,mar-may,"SOLO de marzo a mayo, por el UV extremo. Se quita el resto del ano: la albahaca de Fase 2 necesita luz. Si tu S12 no cae en marzo-mayo, difierela"
F1-028,1,S12,fitosanitario,Jabon potasico 1 kg,1,kg,250,250,si,,OPC-145,,,"Pulgon, mosca blanca y trips: 10-15 ml/L aplicado al enves de la hoja"
F1-029,1,S12,fitosanitario,Trampas amarillas pegajosas,1,paquete,150,150,si,,OPC-147,,,Una por rack. Es el indicador temprano mas barato que existe
F1-030,1,S12,fitosanitario,Bti para mosca fungosa (Gnatrol DG o equivalente),1,pza,800,800,si,,OPC-149,,antes de lluvias,"Comprar ANTES de la primera temporada de lluvias, no cuando ya hay mosca"
F1-031,1,S7,herramienta,"Herramienta de Fase 1 (rotomartillo, brocas, taquetes, niveles)",1,lote,1600,1600,si,,OPC-150,,,"Si suelda el herrero, no hace falta esmeriladora ni careta"
F1-032,1,S13,seguridad,Breaker GFCI del circuito del patio,1,pza,1159,1159,si,,OPC-151,,,"MOVIDA DESDE EL BOM DE FASE 2: docs/fases/fase-1/compras.md la exige en la S13, antes del primer rele en el patio. Estaba presupuestada en las dos fases"
F1-033,1,S13,seguridad,Tapa intemperie in-use + varilla copperweld 5/8 x 3 m + cable cal. 8,1,lote,900,900,si,,OPC-153,,,"MOVIDA DESDE EL BOM DE FASE 2. NOM-001: un patio es lugar mojado. Tierra <=25 ohms MEDIDOS, no supuestos"
F1-034,1,S13,seguridad,"Electricista certificado (GFCI, tierra fisica y contacto exterior)",1,servicio,2500,2500,si,,OPC-154,,,"MOVIDA DESDE EL BOM DE FASE 2. Pedir 3 cotizaciones. Medio dia a dia, llave en mano $1,500-3,500"
F2-001,2,sem1-2,nft,Tubo PVC SANITARIO 4 pulg x 6 m (lineas NFT),4,tramo,415,1660,si,,OPC-201,,,"SANITARIO, no hidraulico cedula 40 ($1,401): el NFT corre sin presion y la diferencia es 3.4x. Blanco porque refleja el calor"
F2-002,2,sem1-2,nft,"Codos 90/45, tapas y adaptadores de drenaje 4 pulg",1,lote,600,600,si,,OPC-202,,,"Codo de 90 $28.80, codo de 45 $18.31"
F2-003,2,sem1-2,nft,"Tuberia de distribucion 1/2-3/4, retorno 2 pulg y valvulas de compuerta por linea",1,lote,750,750,si,,OPC-203,,,Caudal objetivo 1-2 L/min por linea: se mide con botella de 1 L y cronometro
F2-004,2,sem1-2,nft,"Cemento para PVC, limpiador, teflon y lima de desbarbar",1,lote,280,280,si,,OPC-204,,,"PARTIDA NUEVA: las notas del BOM viejo la mencionaban y ningun renglon la sumaba. Sin desbarbar, el borde corta la raiz"
F2-005,2,sem1-2,nft,Canastilla hidroponica 3 pulg,80,pza,12.8,1024,si,,OPC-205,,,COMPRARLAS ANTES DE PERFORAR. Medir el cuerpo bajo el labio para elegir la sierra copa
F2-006,2,sem1-2,herramienta,Sierra copa bimetalica del diametro medido + mandril,1,pza,300,300,si,,OPC-207,,,"UN SOLO diametro, el que midas de la canastilla. Tipico 44-48 mm para canastilla de 2 pulg; aqui es de 3 pulg, asi que MIDE"
F2-007,2,sem1-2,nft,"Bomba de llenado, purga y trasiego (sumergible 4500 LPH)",1,pza,1199,1199,si,,OPC-208,,,65 W (~$45/mes de luz) contra 370 W de una periferica (~$260/mes). NO es la bomba de recirculacion 24/7: esa es de 12 V y cuelga de la bateria
F2-008,2,sem1-2,nft,Filtro de malla 120 mesh 1 pulg,1,pza,230,230,si,,OPC-209,,,"Va en el RETORNO, antes de la bomba"
F2-009,2,sem1-2,nft,Deposito de solucion nutritiva 200 L grado alimenticio,1,pza,700,700,si,,OPC-211,,,Bajo sombra. La solucion ideal va a 18-22 C. Cambio completo cada 2-3 semanas
F2-010,2,sem1-2,nft,Semillero de foami agricola 144 bloques,2,pza,45.5,91,si,,OPC-212,,,$0.32 por planta. NO usar peat pellets: tapan el filtro
F2-011,2,sem3,nutricion,"Solucion nutritiva para hortalizas (rinde 1,000 L)",2,pza,349,698,si,,OPC-213,,,Al pasar de 2 m3/mes conviene el costal de 25 kg ($202/m3) o sales A/B ($90-150/m3). DESCARTAR Flora Series GHE: cuesta 10-40x
F2-012,2,sem3,nutricion,Acido regulador pH- AquAcid (REACTIVO de dosificacion),1,pza,516,516,si,,OPC-215,,,"Es el reactivo que dosifica la peristaltica para bajar el pH de la solucion. NO confundir con los estandares de calibracion, que son otra cosa aunque se llamen buffer"
F2-013,2,sem3,calibracion,Estandar de calibracion pH 4.01,2,pza,40,80,si,,OPC-217,,,"ESTANDAR DE CALIBRACION, no toca el cultivo. Calibracion quincenal, con evento programado en Home Assistant"
F2-014,2,sem3,calibracion,Estandar de calibracion pH 6.86 (o 7.01),1,botella,150,150,si,,OPC-219,,,El segundo punto de la calibracion. 6.86 y 7.01 son dos estandares distintos pero equivalentes para este uso: usa el que consigas
F2-015,2,sem3,calibracion,Solucion de calibracion EC 1413 uS/cm,1,pza,459.36,459.36,si,,OPC-220,,,"Caducidad de 5 anos cerrada. Presupuesto anual de calibracion mas sonda: ~$1,050"
F2-016,2,sem4-6,automatizacion,Sonda de pH del deposito NFT,1,pza,318,318,si,,OPC-222,,,Etapa 1: valida el lazo de control. El kit DFRobot NO se compra hasta que el NFT facture: su electrodo caduca a los 12-18 meses aunque siga en la caja
F2-017,2,sem4-6,automatizacion,Sonda EC/TDS FIJA del retorno (SEN0244),1,pza,253,253,si,,OPC-225,,,"Es la sonda fija que lee ESPHome, montada en el RETORNO. No confundir con el medidor de mano, que es el arbitro"
F2-018,2,sem4-6,automatizacion,"Bombas peristalticas 12 V (A, B, pH- y repuesto)",4,pza,225,900,si,,OPC-226,,,"La manguera interna es consumible: se reemplaza, no se repara"
F2-019,2,sem4-6,automatizacion,Valvula solenoide 12 V 1/2 NC,2,pza,128,256,si,,OPC-227,,,NC (normalmente cerrada): un corte de luz NO vacia el tinaco
F2-020,2,sem4-6,automatizacion,ESP32-CAM OV2640,1,pza,260,260,si,,OPC-228,,,Timelapse e inspeccion remota
F2-021,2,sem4-6,automatizacion,Sensor de flujo YF-S201,1,pza,64,64,si,,OPC-229,,,Watchdog de bomba tapada o linea rota
F2-022,2,sem1-2,agua,Separador de primeras lluvias (Paquete Basico Tlaloc),1,sistema,5300,5300,no,ya_comprado_en_fase_anterior,OPC-117,F1,,"NO SUMA: es la MISMA funcion que la partida F1-010, que ya se decidio y se pago en Fase 1. Si en Fase 1 elegiste el DIY de $1,500 y ahora quieres el Tlaloc, el delta real es +$3,800, no $5,300"
F2-023,2,sem1-2,agua,Filtro duplex de sedimento 5 um + carbon activado 10 pulg,1,juego,1000,1000,si,,OPC-230,,,"Solo en la linea que llena el deposito NFT: quita el cloro. Los CARTUCHOS son consumible cada 4-6 meses, no compra unica"
F2-024,2,sem3,calibracion,Medidor de mano pH + EC (arbitro de calibracion),1,pza,450,450,si,,OPC-231,,,Es el ARBITRO: con el operas en manual las primeras semanas y con el detectas que la sonda fija se descalibro. No sustituye a la sonda fija ni al reves
F2-025,2,sem3,semilla,Semilla de albahaca para el NFT,1,oz,549,549,si,,OPC-233,,,"Nufar es resistente a fusarium, que es el riesgo tecnico #3 del plan. Estaba AGOTADA al 12-sep-2026: si no hay reabasto, cambia a la opcion Genovese y el total baja"
F2-026,2,sem4-6,libros,"Cultivos hidroponicos (Resh, 5a ed. en espanol)",1,pza,899,899,si,,OPC-235,,,Comprar con los ingresos de Fase 1. Es el porque de las bandas de pH y EC
F2-027,2,sem1-2,respaldo,Bateria LiFePO4 12.8 V 100 Ah,1,pza,4459,4459,si,,OPC-236,,,28-30 h de recirculacion continua. Es el corazon de la arquitectura DC-first: un apagon no mata el NFT
F2-028,2,sem1-2,respaldo,Bombas de recirculacion NFT 24/7 DC (principal + respaldo),2,pza,650,1300,si,,OPC-239,,,"ARQUITECTURA DC-FIRST: la bomba del NFT que corre 24/7 es de 12 V y cuelga del bus de bateria. La de 127 V solo hace llenado y purga. POR VERIFICAR: si la bomba de nebulizacion de Fase 1 (F1-017) califica como segunda unidad, te ahorras $650"
F2-029,2,sem1-2,respaldo,Controlador de carga solar (cargador de la LiFePO4),1,pza,599,599,si,,OPC-241,,,Requisito duro: que tenga perfil LiFePO4 configurable
F2-030,2,sem1-2,respaldo,Panel solar 100 W,1,pza,1049,1049,si,,OPC-243,,,Opcional pero recomendado: flota la bateria sin CFE. Un corte diurno se vuelve sostenible indefinidamente
F2-031,2,sem1-2,respaldo,"Fusiblera 12 V, seccionador DC y gabinete del bus",1,lote,700,700,si,,OPC-245,,,PARTIDA NUEVA: las notas del BOM viejo la estimaban en $500-900 y ningun renglon la sumaba
F2-032,2,sem1-2,respaldo,"Envio de las partidas que no tienen mostrador (panel, bateria)",1,lote,158,158,si,,OPC-246,,,"PARTIDA NUEVA: el envio del panel aparecia en las notas y nunca se sumaba. Si compras presencial en Vallejo o Coyoacan, esta partida se va a cero"
F2-033,2,sem1-2,respaldo,No-break del cerebro y el router,1,pza,1189,1189,no,ya_comprado_en_fase_anterior,OPC-135,F1,,"NO SUMA: es la misma funcion que F1-021, ya comprada. Solo se recompra si el de Fase 1 no sostiene 45 min con el cerebro y el modem. Comprobalo con el simulacro de apagon antes de gastar"
F2-034,2,S13 de Fase 1,seguridad,Breaker GFCI del circuito del patio,1,pza,1159,1159,no,ya_comprado_en_fase_anterior,OPC-151,F1,,"NO SUMA: movida a F1-032. El proyecto la exige en la S13 de Fase 1, antes de energizar el primer rele del patio. Estaba presupuestada en las dos fases"
F2-035,2,S13 de Fase 1,seguridad,Tapa intemperie + varilla copperweld + cable cal. 8,1,lote,900,900,no,ya_comprado_en_fase_anterior,OPC-153,F1,,NO SUMA: movida a F1-033
F2-036,2,S13 de Fase 1,seguridad,Electricista certificado,1,servicio,2500,2500,no,ya_comprado_en_fase_anterior,OPC-154,F1,,NO SUMA: movida a F1-034
F2-037,2,al vender cortado,frio,Refrigerador 9-11 pies (producto cortado a 4-5 C),1,pza,4000,4000,si,,OPC-248,,,Cortado a 20-25 C dura menos de un dia; a 5 C dura 14. Suma 25-40 kWh/mes al calculo de la tarifa DAC: metelo en la cuenta antes de comprarlo
F2-038,2,al vender cortado,frio,Hielera rigida 45-50 L + 6 gel packs (reparto),1,juego,1300,1300,si,,OPC-249,,,Pre-enfriar el producto la noche anterior. Objetivo: menos de 10 C durante 4-6 h de ruta
F2-039,2,al vender cortado,seguro,Responsabilidad civil PyMEs con RC de productos,1,poliza,500,500,no,recurrente,OPC-250,,,"NO SUMA AL TOTAL DE INVERSION porque es un gasto RECURRENTE (~$500/mes, $3,000-8,000/ano), no capital. Solo cuando entre un cliente corporativo u hotelero"
